>>> start to training
MP-T Epoch [87/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [88/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [89/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [90/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [91/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [92/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [93/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [94/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [95/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [96/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [97/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [98/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [99/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [100/1000], Loss: 3.4647, running time: 0:00:27.0
record checkpoint at: /exafs1/well/rittscher/users/lec468/PanoPath-Project/st-he/models/CLIP_CtxI-ViT16-224-h4_d3_CtxI-ViT16-224-h4_d3[10]2024-05-23[100]2024-05-23.pth
MP-T Epoch [101/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [102/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [103/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [104/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [105/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [106/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [107/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [108/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [109/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [110/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [111/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [112/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [113/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [114/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [115/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [116/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [117/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [118/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [119/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [120/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [121/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [122/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [123/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [124/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [125/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [126/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [127/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [128/1000], Loss: 3.4647, running time: 0:00:27.3
MP-T Epoch [129/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [130/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [131/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [132/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [133/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [134/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [135/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [136/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [137/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [138/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [139/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [140/1000], Loss: 3.4647, running time: 0:00:27.8
MP-T Epoch [141/1000], Loss: 3.4647, running time: 0:00:27.4
MP-T Epoch [142/1000], Loss: 3.4647, running time: 0:00:27.4
MP-T Epoch [143/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [144/1000], Loss: 3.4647, running time: 0:00:27.8
MP-T Epoch [145/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [146/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [147/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [148/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [149/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [150/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [151/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [152/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [153/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [154/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [155/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [156/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [157/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [158/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [159/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [160/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [161/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [162/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [163/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [164/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [165/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [166/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [167/1000], Loss: 3.4647, running time: 0:00:27.3
MP-T Epoch [168/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [169/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [170/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [171/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [172/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [173/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [174/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [175/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [176/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [177/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [178/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [179/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [180/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [181/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [182/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [183/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [184/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [185/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [186/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [187/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [188/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [189/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [190/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [191/1000], Loss: 3.4647, running time: 0:00:27.6
MP-T Epoch [192/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [193/1000], Loss: 3.4647, running time: 0:00:27.9
MP-T Epoch [194/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [195/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [196/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [197/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [198/1000], Loss: 3.4647, running time: 0:00:27.2
MP-T Epoch [199/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [200/1000], Loss: 3.4647, running time: 0:00:26.7
record checkpoint at: /exafs1/well/rittscher/users/lec468/PanoPath-Project/st-he/models/CLIP_CtxI-ViT16-224-h4_d3_CtxI-ViT16-224-h4_d3[10]2024-05-23[100]2024-05-23[200]2024-05-23.pth
MP-T Epoch [201/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [202/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [203/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [204/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [205/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [206/1000], Loss: 3.4647, running time: 0:00:27.5
MP-T Epoch [207/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [208/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [209/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [210/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [211/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [212/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [213/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [214/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [215/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [216/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [217/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [218/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [219/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [220/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [221/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [222/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [223/1000], Loss: 3.4647, running time: 0:00:27.5
MP-T Epoch [224/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [225/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [226/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [227/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [228/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [229/1000], Loss: nan, running time: 0:00:26.0
MP-T Epoch [230/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [231/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [232/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [233/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [234/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [235/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [236/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [237/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [238/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [239/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [240/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [241/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [242/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [243/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [244/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [245/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [246/1000], Loss: nan, running time: 0:00:26.9
