>>> start to training
>>> start to training
MP-T Epoch [87/4000], Loss: 4.7907, running time: 0:02:57.1
MP-T Epoch [88/4000], Loss: 4.7925, running time: 0:02:58.1
MP-T Epoch [89/4000], Loss: 4.7931, running time: 0:02:58.3
MP-T Epoch [90/4000], Loss: 4.7897, running time: 0:02:57.0
MP-T Epoch [91/4000], Loss: 4.7892, running time: 0:02:56.9
MP-T Epoch [92/4000], Loss: 4.7924, running time: 0:02:58.2
MP-T Epoch [93/4000], Loss: 4.7894, running time: 0:02:59.4
MP-T Epoch [94/4000], Loss: 4.7899, running time: 0:02:58.0
MP-T Epoch [95/4000], Loss: 4.7853, running time: 0:02:57.1
MP-T Epoch [96/4000], Loss: 4.7908, running time: 0:02:57.6
MP-T Epoch [97/4000], Loss: 4.7904, running time: 0:02:57.3
MP-T Epoch [98/4000], Loss: 4.7892, running time: 0:02:56.3
MP-T Epoch [99/4000], Loss: 4.7796, running time: 0:02:57.4
MP-T Epoch [100/4000], Loss: 4.7911, running time: 0:02:56.9
MP-T Epoch [101/4000], Loss: 4.7764, running time: 0:02:56.8
MP-T Epoch [102/4000], Loss: 4.7897, running time: 0:02:57.9
MP-T Epoch [103/4000], Loss: 4.7842, running time: 0:02:56.9
MP-T Epoch [104/4000], Loss: 4.7889, running time: 0:02:56.4
MP-T Epoch [105/4000], Loss: 4.7876, running time: 0:02:57.5
MP-T Epoch [106/4000], Loss: 4.7837, running time: 0:02:57.7
MP-T Epoch [107/4000], Loss: 4.7858, running time: 0:02:58.7
MP-T Epoch [108/4000], Loss: 4.7876, running time: 0:02:56.4
MP-T Epoch [109/4000], Loss: 4.7844, running time: 0:02:57.1
MP-T Epoch [110/4000], Loss: 4.7842, running time: 0:02:58.7
MP-T Epoch [111/4000], Loss: 4.7904, running time: 0:02:58.4
MP-T Epoch [112/4000], Loss: 4.7890, running time: 0:02:56.2
MP-T Epoch [113/4000], Loss: 4.7836, running time: 0:02:56.4
MP-T Epoch [114/4000], Loss: 4.7820, running time: 0:02:57.0
MP-T Epoch [115/4000], Loss: 4.7859, running time: 0:03:02.1
MP-T Epoch [116/4000], Loss: 4.7788, running time: 0:02:57.7
MP-T Epoch [117/4000], Loss: 4.7802, running time: 0:02:56.5
MP-T Epoch [118/4000], Loss: 4.7884, running time: 0:02:56.8
MP-T Epoch [119/4000], Loss: 4.7837, running time: 0:02:56.7
MP-T Epoch [120/4000], Loss: 4.7826, running time: 0:02:57.6
MP-T Epoch [121/4000], Loss: 4.7866, running time: 0:02:57.4
MP-T Epoch [122/4000], Loss: 4.7834, running time: 0:02:59.0
MP-T Epoch [123/4000], Loss: 4.7776, running time: 0:02:57.7
MP-T Epoch [124/4000], Loss: 4.7826, running time: 0:02:58.0
MP-T Epoch [125/4000], Loss: 4.7834, running time: 0:02:58.7
MP-T Epoch [126/4000], Loss: 4.7866, running time: 0:02:57.0
MP-T Epoch [127/4000], Loss: 4.7848, running time: 0:02:58.1
MP-T Epoch [128/4000], Loss: 4.7845, running time: 0:02:56.7
MP-T Epoch [129/4000], Loss: 4.7809, running time: 0:02:56.8
